id,user,created_at,full_text,retweeted_status,quoted_status,place,source,text,display_text_range,truncated,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,geo,coordinates,contributors,is_quote_status,quote_count,reply_count,retweet_count,favorite_count,favorited,retweeted,filter_level,lang,timestamp_ms,possibly_sensitive,scopes,liquor_type
1459329956090204160,548036878,2021-11-13T01:19:09+00:00,"***FELV POSITIVE*** Whiskey was dumped by her owner.
She is extremely upset. Whiskey is already spayed but needs dental care. She also tested positive for FELV. She will need to be an only cat or live with other FELV cats. This pretty kitty is waiting https://www.facebook.com/NYCDEATHROWCATS/photos/a.4890214264323700/4928610347150758 https://twitter.com/NYCDEATHROWCATS/status/1459329956090204160/photo/1",,,,1f89d6a41b1505a3071169f8d0d028ba9ad6f952,"***FELV POSITIVE*** Whiskey was dumped by her owner.
She is extremely upset. Whiskey is already spayed but needs de… https://t.co/p4IHTqv62Q","[0, 275]",1,,,,,,,0,7,1,92,62,0,0,low,en,,0.0,,whiskey
1465746926708531203,1328344377677135872,2021-11-30T18:17:54+00:00,"Taehyung comes home to an empty house. He locks the door, drags himself to the bedroom to change before he gets himself a glass of whiskey and goes out on the balcony to sit.

He sits on the floor, leaning against the glass of the balcony.

He takes a sip of the whiskey.",,,,1f89d6a41b1505a3071169f8d0d028ba9ad6f952,"Taehyung comes home to an empty house. He locks the door, drags himself to the bedroom to change before he gets him… https://t.co/SYQyF6Izp1","[0, 271]",1,1.4657449657917194e+18,1.328344377677136e+18,amyungv,,,,0,1,1,4,754,0,0,low,en,,,,whiskey
1470772441660207112,67055859,2021-12-14T15:07:30+00:00,"@VikeKang_ Yep. That’s why the informed people paid attention and ordered the treatment packs from overseas for backup. And that’s why the regulators are still trying to stop that. If the whiskey, lemon and honey grandma remedy worked on this one they would have banned that too I bet.",,,,95f3aaaddaa45937ac94765e0ddb68ba2be92d20,@VikeKang_ Yep. That’s why the informed people paid attention and ordered the treatment packs from overseas for bac… https://t.co/5ZYGTxiAZW,"[11, 285]",1,1.4705242128927457e+18,1.444514491803349e+18,VikeKang_,,,,0,0,2,10,72,0,0,low,en,,,,whiskey
1471038443111124994,24238030,2021-12-15T08:44:30+00:00,"🎉🎈🎊SAFE! 3YO WHITE & GRAY FeLV+ KITTY ""WHISKEY"" HAS BEEN ADOPTED!🎉🎈🎊
▶https://www.facebook.com/mlcsavingnyccats/photos/a.2976524182598377/2965556937028435/?type=3&theater",,1.4593299560902042e+18,,1f89d6a41b1505a3071169f8d0d028ba9ad6f952,"🎉🎈🎊SAFE! 3YO WHITE &amp; GRAY FeLV+ KITTY ""WHISKEY"" HAS BEEN ADOPTED!🎉🎈🎊
▶https://t.co/O2g1TzbWQe",,0,,,,,,,1,0,1,6,4,0,0,low,en,,0.0,,whiskey
1471086498367877122,1447115701806944262,2021-12-15T11:55:27+00:00,"fictional men who have dark hair, smoke, drink whiskey, wear three piece suits, have a british accent, are in love with a MILF detective oh and are satan",,1.4701387046184714e+18,,95f3aaaddaa45937ac94765e0ddb68ba2be92d20,"fictional men who have dark hair, smoke, drink whiskey, wear three piece suits, have a british accent, are in love… https://t.co/ZssQp3Wa4T","[0, 153]",1,,,,,,,1,0,4,11,111,0,0,low,en,,,,whiskey
1471115465875406856,395503322,2021-12-15T13:50:33+00:00,"@chaplinscellar is the place to be! The people, the atmosphere, the food and drinks. Have to go and check it out! 

They are so absolutely amazing, we shot out latest short #film 'Doubt buys the whiskey' there.",,1.4711117065669714e+18,,1f89d6a41b1505a3071169f8d0d028ba9ad6f952,"@chaplinscellar is the place to be! The people, the atmosphere, the food and drinks. Have to go and check it out!… https://t.co/6ETyQFNIcp","[0, 210]",1,,565703332.0,chaplinscellar,,,,1,0,0,1,1,0,0,low,en,,,,whiskey
1471131552289538059,1921084801,2021-12-15T14:54:29+00:00,"@campaignforkate I got my booster in your pharmacy this morning. The staff were so lovely, even after receiving abuse from a nasty customer behind me in the queue, that I had to buy them a bottle of whiskey to add to the pot for their Christmas party. Tell them thanks from me!🎄",,,,f0976f342215a984184a13a54b26877ece8cebba,"@campaignforkate I got my booster in your pharmacy this morning. The staff were so lovely, even after receiving abu… https://t.co/nfIwUyXC0p","[0, 278]",1,,1871710310.0,campaignforkate,,,,0,0,1,1,3,0,0,low,en,,,,whiskey
1471139458313560074,1411788190789287940,2021-12-15T15:25:53+00:00,James Arthur _ Last of the Whiskey 🍾,,,,f0976f342215a984184a13a54b26877ece8cebba,James Arthur _ Last of the Whiskey 🍾,,0,,,,,,,0,0,0,4,2,0,0,low,en,,,,whiskey
1471148250015191045,4186964356,2021-12-15T16:00:50+00:00,"The time has come, our core Silkie Whiskey collection is complete. 
The Midnight Silkie, our smokiest blend yet, will be launched on our Irish online shop at midnight tonight.

#SmokyIrishWhiskey #InspiredByLegend #MidnightSilkie #DrinkResponsibly #NewRelease https://twitter.com/SilkieWhiskey/status/1471148250015191045/photo/1",,,,1f89d6a41b1505a3071169f8d0d028ba9ad6f952,"The time has come, our core Silkie Whiskey collection is complete. 
The Midnight Silkie, our smokiest blend yet, wi… https://t.co/rC3RLgew9h","[0, 259]",1,,,,,,,0,3,3,12,56,0,0,low,en,,0.0,,whiskey
1471169156833849350,747871893479391233,2021-12-15T17:23:54+00:00,"Very best of luck to our very own Tim Harris. Who will be rowing across the Atlantic in the Talisker Whiskey Atlantic Challenge for Mindcraft ❤️ 

Learn more here: http://www.themindcraft.co.uk/home https://twitter.com/bigdropbrewco/status/1471169156833849350/photo/1",,,,95f3aaaddaa45937ac94765e0ddb68ba2be92d20,Very best of luck to our very own Tim Harris. Who will be rowing across the Atlantic in the Talisker Whiskey Atlant… https://t.co/N218ulhJHC,"[0, 187]",1,,,,,,,0,0,1,1,5,0,0,low,en,,0.0,,whiskey
